ruc,razon_social,nombre_limpio,fob_usd,peso_kg,operaciones,partidas,semanas_activo,paises,toneladas,fob_anualizado,rubro,uso_dual
20462793791,FRESENIUS MEDICAL CARE DEL PERU S.A.,FRESENIUS MEDICAL CARE DEL PERU,27770.6,18304.0,2,1,1,1,18.304,144407.12,Agroquimicos,False
20385521805,FLORISERT S.A.C.,FLORISERT,27267.13,1922.0,4,2,2,2,1.922,141789.076,Agroquimicos,False
20613406566,CORPORACION FOLSVITA ILLEMAS S.A.C.,CORPORACION FOLSVITA ILLEMAS,27192.46,3506.45,5,2,1,1,3.5064499999999996,141400.79200000002,Fertilizantes,True
20207190285,MATHIESEN PERU S.A.C.,MATHIESEN PERU,26485.73,27880.0,7,1,2,2,27.88,137725.796,Agroquimicos,False
20557960091,LEA PERU S.A.C.,LEA PERU,26422.818,4789.4,5,1,4,1,4.7894,137398.6536,Otro,False
20604891818,AGRI MARINE TERRA PERU S.A.C.,AGRI MARINE TERRA PERU,26390.0,740.0,2,1,1,1,0.74,137228.0,Fertilizantes,False
20606352361,CORPORACION ECOPERU S.A.C.,CORPORACION ECOPERU,25909.08,6911.25,11,1,1,1,6.91125,134727.21600000001,Fertilizantes,False
20255172884,PRODUCTOS SANCELA DEL PERU S.A.,PRODUCTOS SANCELA DEL PERU,25806.502,6752.8,4,1,4,2,6.752800000000001,134193.81040000002,Agroquimicos,False
20339899895,MARUPLAST INTERNACIONAL S.A.C.,MARUPLAST INTERNACIONAL,25597.701,1956.0,2,1,1,1,1.956,133108.04520000002,Agroquimicos,False
20605637231,Q'ANPAQ PERU S.A.C.,Q'ANPAQ PERU,25492.8,5668.8,2,1,1,1,5.6688,132562.56,Agroquimicos,False
20566503850,REPRESENTACIONES MEDICAS ROJAS SOCIEDAD,REPRESENTACIONES MEDICAS ROJAS SOCIEDAD,25348.711,3818.46,3,1,1,1,3.81846,131813.2972,Agroquimicos,False
20167877444,ARBORIZACIONES E.I.R.L.,ARBORIZACIONES,24843.0,81000.0,3,1,1,1,81.0,129183.6,Fertilizantes,False
20565806972,CASP DEL PERU E.I.R.L.,CASP DEL PERU,24572.724000000002,6012.0,2,1,2,1,6.012,127778.16480000001,Agroquimicos,False
20530042708,AGRONEGOCIOS LOS ANGELES S.A.C.,AGRONEGOCIOS LOS ANGELES,23900.0,792.0,2,1,2,1,0.792,124280.0,Otro,False
20544979036,GOVI PERU S.A.C.,GOVI PERU,23771.39,4720.0,2,1,1,1,4.72,123611.228,Agroquimicos,False
20458379395,LABIN PERU S.A.,LABIN PERU,23504.574,656.326,15,1,4,1,0.6563260000000001,122223.78480000001,Otro,False
20538481336,MACANA S.A.C,MACANA,22966.618,478.8,14,1,2,1,0.4788,119426.4136,Agroquimicos,False
20602104380,AGROINDUSTRIAS ECOFARM S.A.C.,AGROINDUSTRIAS ECOFARM,22311.0,13000.0,2,1,1,1,13.0,116017.2,Otro,False
20610851551,BIOCHEMICAL LYDIA S.A.C.,BIOCHEMICAL LYDIA,21624.907,3843.2400000000002,19,1,6,1,3.84324,112449.5164,Agroquimicos,False
20611637838,CORPORACION ANDINA AVENTIS PERU EMPRESA,CORPORACION ANDINA AVENTIS PERU EMPRE,21530.0,18.6,1,1,1,1,0.018600000000000002,111956.0,Semillas,False
20501516032,SOPURA S.A.C.,SOPURA,21455.39,15840.0,2,1,1,1,15.84,111568.02799999999,Agroquimicos,False
20451871286,NATUCULTURA S.A,NATUCULTURA,21371.388,20.166,34,1,6,3,0.020166,111131.21759999999,Semillas,False
20373687333,INCAFOREST E.I.R.LTDA,INCAFOREST E.I.R.LTDA,20788.432,3.336,41,1,2,5,0.003336,108099.84640000001,Semillas,False
20552611307,ARCHROMA PERU S.A.,ARCHROMA PERU,20705.421,13500.5,2,2,1,2,13.5005,107668.18919999998,Agroquimicos,False
20601349401,AGROSEMILLERIA TRONCOSSY S.A.C.,AGROSEMILLERIA TRONCOSSY,20150.0,14000.0,8,2,1,1,14.0,104780.0,Fertilizantes,False
20549608672,SEMBRANDO PERU S.A.C.,SEMBRANDO PERU,19910.0,1400.0,2,1,1,1,1.4,103532.0,Fertilizantes,False
20100128056,SAGA FALABELLA S A,SAGA FALABELLA S A,19187.28,1463.31,3,1,1,1,1.4633099999999999,99773.85599999999,Otro,False
20467089464,FUMINSUMOS S.R.L.,FUMINSUMOS,19080.0,3913.6000000000004,2,1,1,1,3.9136,99216.0,Agroquimicos,False
20100070970,SUPERMERCADOS PERUANOS SOCIEDAD ANONIMA,SUPERMERCADOS PERUANOS,18492.48,15216.773,12,1,3,1,15.216773,96160.89600000001,Agroquimicos,False
20100873924,PACCU S A,PACCU S A,18414.75,25000.0,1,1,1,1,25.0,95756.7,Fertilizantes,False
