ruc,razon_social,nombre_limpio,fob_usd,peso_kg,operaciones,partidas,semanas_activo,paises,toneladas,fob_anualizado
20610068767,AQU ANQA II S.A.C.,AQU ANQA II,28566832.651,3492291.32,320,1,10,19,3492.29132,148547529.7852
20535747424,RVR AGRO S.R.L.,RVR AGRO,25861318.39,10680723.8,721,3,10,21,10680.723800000002,134478855.62800002
20136222725,SAFRESCO PERU S.A.,SAFRESCO PERU,23620205.751,15291619.92,704,3,10,18,15291.61992,122825069.9052
20562877101,TA EXPORT S.A.C.,TA EXPORT,23135494.22,3981974.4,387,2,10,7,3981.9744,120304569.94399999
20522061035,EXPORTADORA ROMEX S.A.,EXPORTADORA ROMEX,22797046.03,3912666.0,163,6,9,18,3912.666,118544639.356
20550858461,PLANTACIONES DEL SOL S.A.C,PLANTACIONES DEL SOL,22453041.168,14225894.4,3453,3,10,7,14225.894400000001,116755814.0736
20451871286,NATUCULTURA S.A,NATUCULTURA,22342472.736,24540.95,280,3,10,9,24.540950000000002,116180858.2272
20603311346,EXPORTADORA SAN RAMON S.A.C.,EXPORTADORA SAN RAMON,22237940.344,12488752.0,681,1,10,9,12488.752,115637289.78880002
20600699131,AGRO SAN GERARDO S.A.C.,AGRO SAN GERARDO,20759873.830000002,4536981.12,28,1,9,5,4536.98112,107951343.91600001
20512896252,OLAM AGRO PERÚ S.A.C.,OLAM AGRO PERÚ,20220799.12,2704710.0,57,1,10,12,2704.71,105148155.424
20329725431,SUNSHINE EXPORT S.A.C,SUNSHINE EXPORT,19990275.466000002,11404465.11,610,2,10,18,11404.46511,103949432.42320001
20451779711,SOCIEDAD AGRICOLA RAPEL   S.A.C.,SOCIEDAD AGRICOLA RAPEL,19386650.614,8032991.2,730,2,4,7,8032.9912,100810583.1928
20600807685,AGROBERRIES PERU S.A.C.,AGROBERRIES PERU,19369641.753,2594173.43,257,1,10,9,2594.1734300000003,100722137.11559999
20607481491,BAIKA PERU S.A.C.,BAIKA PERU,18286494.959,10382879.66,627,1,10,11,10382.87966,95089773.7868
20372081831,AGRICOLA CHAPI S.A.,AGRICOLA CHAPI,18255664.608,6928387.0,510,2,9,8,6928.387,94929455.9616
20104902864,EXPORTADORA FRUTICOLA DEL SUR SA,EXPORTADORA FRUTICOLA DEL SUR,16862047.342,4111215.924,631,2,10,24,4111.215924,87682646.17840001
20517952533,PURA FRUIT COMPANY S.A.,PURA FRUIT COMPANY,16160271.995,5364073.0,380,1,9,9,5364.073,84033414.374
20557530160,BLUEBERRIES PERU S.A.C.,BLUEBERRIES PERU,15850668.5,1658664.66,256,1,10,7,1658.66466,82423476.2
20492896269,EUROFRESH PERU S.A.C,EUROFRESH PERU,14343036.06,7605589.2,340,1,10,4,7605.5892,74583787.51200001
20603461534,AGRICOLA INTERANDINA S.A.C.,AGRICOLA INTERANDINA,14075281.959999999,2279484.84,191,2,10,9,2279.48484,73191466.192
20481121966,HASS PERU S.A.,HASS PERU,13522573.368,5143120.236,493,2,10,10,5143.120236,70317381.5136
20477793674,QUICORNAC S.A.C.,QUICORNAC,13113747.33,4743094.0,180,4,9,17,4743.094,68191486.116
20395379233,PRONATUR S.A.C,PRONATUR,13042710.145,7226379.0,352,4,10,11,7226.379,67822092.75400001
20606133139,FAMILY FARMS PERÚ S.R.L.,FAMILY FARMS PERÚ,12901668.56,1419112.3800000001,125,1,10,3,1419.11238,67088676.51200001
20396260639,MORAVA S.A.C.,MORAVA,12879855.376,7039711.62,325,2,10,6,7039.71162,66975247.955199994
20600697511,UVICA S.A.C.,UVICA,12681479.801,4937234.72,347,3,10,6,4937.2347199999995,65943694.9652
20602822533,HORTIFRUT - PERÚ S.A.C.,HORTIFRUT - PERÚ,12653559.77,2426548.922,284,2,10,13,2426.548922,65798510.804
20535645346,SUMAQAO SOCIEDAD ANONIMA CERRADA,SUMAQAO,12486478.13,2803310.0,25,1,6,4,2803.31,64929686.27600001
20610799869,VIRU S.A.,VIRU,12450804.597,5077250.456,398,5,10,16,5077.250456000001,64744183.9044
20550720354,INVERSIONES MOSQUETA S.A.C.,INVERSIONES MOSQUETA,12389045.319,8876976.6,528,1,10,13,8876.9766,64423035.658800006
20397680038,GREEN PERU S.A,GREEN PERU,12318398.097000001,4575471.45,322,3,10,8,4575.47145,64055670.10440001
20512217452,AGUALIMA S.A.C.,AGUALIMA,12142269.372,3117316.77,306,5,10,19,3117.31677,63139800.734400004
20410065364,CORPORACION FRUTICOLA DE CHINCHA S.A.C.,CORPORACION FRUTICOLA DE CHINCHA,12055279.49,6866658.0,309,3,10,11,6866.658,62687453.348000005
20600708997,TRAPANI CULTIVARES PERU SAC,TRAPANI CULTIVARES PERU,12015413.827,6225520.0,259,1,9,4,6225.52,62480151.9004
20104420282,AGROINDUSTRIAS AIB S.A,AGROINDUSTRIAS AIB,11878547.406,5981485.144,340,10,10,20,5981.485144,61768446.511199996
20495175210,AGRO FLORAL PERU S.A.C.,AGRO FLORAL PERU,11850589.622,2804679.15,136,2,9,8,2804.67915,61623066.0344
20614389797,VIRU FROZEN S.A.,VIRU FROZEN,11824115.592,4350216.693,547,4,10,16,4350.216693,61485401.0784
20535674010,SIEMBRA ALTA S.A.C.,SIEMBRA ALTA,11633350.734,6985382.934,489,3,9,12,6985.382934,60493423.81679999
20614418827,VIRU FINE FOODS S.A.,VIRU FINE FOODS,11218849.581,4140310.724,473,6,10,15,4140.310724,58338017.8212
20481555702,AGROINDUSTRIAL ESTANISLAO DEL CHIMU S.A.,AGROINDUSTRIAL ESTANISLAO DEL CHIMU,11063182.555,6857143.68,367,2,10,10,6857.14368,57528549.286
20603964153,COMERCIO AMAZONIA S.A.,COMERCIO AMAZONIA,10757893.870000001,1588400.0,32,1,7,13,1588.4,55941048.124000005
20606009284,BOMAREA S.R.L.,BOMAREA,10675935.082,1915382.28,309,1,10,6,1915.38228,55514862.426400006
20601751250,AÑAY PERUVIAN FRUITS SOCIEDAD ANONIMA CE,AÑAY PERUVIAN FRUITS SOCIEDAD ANONIMA CE,10659111.27,5283064.72,367,1,10,8,5283.064719999999,55427378.603999995
20224133929,INTIPA FOODS S.A.C.,INTIPA FOODS,10546284.0,1566584.304,97,1,10,5,1566.584304,54840676.8
20559787435,AGROEXPORTACIONES NATHANAEL  S.A.C.,AGROEXPORTACIONES NATHANAEL,10129391.572,2138965.16,406,1,10,7,2138.96516,52672836.1744
20601790115,ALCOAXARQUIA PERU S.A.C.,ALCOAXARQUIA PERU,10117865.015,4235735.2,188,1,10,7,4235.7352,52612898.078
20602016812,ASESORIAS E INVERSIONES MUVA S.A.C.,ASESORIAS E INVERSIONES MUVA,9998336.9,7786288.0,446,1,10,14,7786.288,51991351.88
20538803473,AGRICOLA LAS MARIAS S.A.C.,AGRICOLA LAS MARIAS,9880667.57,5347055.32,582,3,10,12,5347.05532,51379471.364
20605347909,QORI MAYO S.A.C.,QORI MAYO,9506654.83,1873446.98,11,1,6,4,1873.44698,49434605.116
20479692476,CAFÉ MONTEVERDE S.A.C.,CAFÉ MONTEVERDE,9431468.4,1459855.0,52,1,9,5,1459.855,49043635.68000001
20176770474,CORPORACION AGROLATINA S.A.C.,CORPORACION AGROLATINA,9342145.469,3479909.72,241,3,7,10,3479.90972,48579156.43880001
20601280508,WHITE LION NUTS S.A.C.,WHITE LION NUTS,9249408.05,896160.0,66,2,10,14,896.16,48096921.86
20604582181,INVERSIONES YARABAMBA S.A.C.,INVERSIONES YARABAMBA,9173899.32,1306483.736,158,1,9,5,1306.4837360000001,47704276.464
20107974467,COMPAÑIA INTERNACIONAL DEL CAFE SOCIEDAD,COMPAÑIA INTERNACIONAL DEL CAFE SOCIEDAD,8789821.68,1506041.39,47,1,9,11,1506.0413899999999,45707072.735999994
20600483596,ASICA FARMS S.A.C.,ASICA FARMS,8612439.374,5875552.0,284,2,10,9,5875.552,44784684.744799994
20106651087,CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA),CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA),8292446.195,6180764.0,293,1,10,10,6180.764,43120720.214
20402805294,AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,AGRICOLA Y GANADERA CHAVIN DE HUANTAR,8271777.19,3180913.076,158,2,10,15,3180.913076,43013241.388000004
20472567803,MULTIFOODS S.A.C.,MULTIFOODS,8195747.29,8391478.082,665,5,10,14,8391.478082,42617885.908
20100227542,PROCESOS AGROINDUSTRIALES SOCIEDAD ANONI,PROCESOS AGROINDUSTRIALES SOCIEDAD ANONI,8138813.42,3004410.286,208,2,7,17,3004.410286,42321829.783999994
20520866630,INKA´S BERRIES S.A.C.,INKA´S BERRIES,8102978.087,1400956.68,167,1,8,10,1400.95668,42135486.0524
20554556192,AGROVISION PERU S.A.C.,AGROVISION PERU,8078805.25,1319141.04,200,3,10,14,1319.14104,42009787.300000004
