dep,nombre,tipo,clase,lat,lon,sectores_1h,hub,horas_reparto,reparto_en_promesa,elegido,clientes_30,sam_30,clientes_45,sam_45,clientes_60,sam_60
AREQUIPA,El Arte,hardware,comercio,-16.41747,-71.533452,35,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,446.49773698346746,2314647.2790273535,536.611547917754,2754565.774804148
AREQUIPA,Proplan,veterinary,comercio,-16.430089,-71.533147,36,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,475.01311029997186,2462471.166564638,582.3561932207681,2991706.324487636
AREQUIPA,Aceros Habilitados,hardware,comercio,-16.399343,-71.515445,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,386.7642470176977,2004988.4642925407,521.1139273688896,2701458.113084054
AREQUIPA,Teran,veterinary,comercio,-16.421663,-71.516285,34,Juliaca,4.437874042686684,False,False,240.71804502203008,1247883.9684324237,403.8860394756697,2093747.951838126,520.4218300046114,2670638.167983458
AREQUIPA,CV Milan,veterinary,comercio,-16.413281,-71.538495,35,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,437.16632761021145,2266273.1899194904,536.611547917754,2754565.774804148
AREQUIPA,Seseser,hardware,comercio,-16.436114,-71.531186,36,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,416.7535297034805,2160453.107937979,582.3561932207681,2991706.324487636
AREQUIPA,El Maestro,hardware,comercio,-16.433468,-71.531604,36,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,448.7747183921167,2326451.166002308,582.3561932207681,2991706.324487636
AREQUIPA,General Prosisma EIRL,hardware,comercio,-16.421835,-71.53732,35,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,446.49773698346746,2314647.2790273535,536.611547917754,2754565.774804148
AREQUIPA,Bettos,hardware,comercio,-16.423465,-71.537531,36,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,446.49773698346746,2314647.2790273535,582.3561932207681,2991706.324487636
AREQUIPA,Cristo Salvador,hardware,comercio,-16.423931,-71.53745,36,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,446.49773698346746,2314647.2790273535,582.3561932207681,2991706.324487636
AREQUIPA,Mistican,veterinary,comercio,-16.426625,-71.517615,35,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,463.6195294414395,2403406.7665729383,536.611547917754,2754565.774804148
