hub,ruta,orden,punto,dep,lat,lon,margen_anual,horas_ruta
Juliaca,1,1,Promart,PUNO,-15.49614,-70.12936,4742.75,8.52
Juliaca,1,2,INDUSTRIA & COMERCIALIZADORA AGROREGION SOCIEDAD COMERCIAL D,PUNO,-15.88985,-70.01578,442.54,8.52
Juliaca,1,3,Comercial y Ferretería Hervas,PUNO,-15.84487,-70.02298,801.3,8.52
Juliaca,1,4,Solar,PUNO,-15.83379,-70.02652,1171.96,8.52
Juliaca,1,5,Ferretería Checa,PUNO,-15.63941,-70.34717,4853.44,8.52
Juliaca,1,6,IMPORTACIONES DISTRIBUCIONES AGRO VETERINARIA PERU SOCIEDAD ,PUNO,-15.4684,-70.20194,1564.89,8.52
Juliaca,1,7,San Pedro,PUNO,-15.48917,-70.13277,6841.06,8.52
Juliaca,1,8,El Altiplano,PUNO,-15.49069,-70.13326,111.1,8.52
Juliaca,2,1,Mundo Animal,PUNO,-15.04516,-70.36748,5245.76,8.44
Juliaca,2,2,ASOCIACION DE PRODUCTORES SEMILLERISTAS Y SERVICIOS MULTIPLE,PUNO,-14.91774,-70.58911,5374.57,8.44
Juliaca,2,3,Ferretex,PUNO,-14.91432,-69.86479,151.96,8.44
Juliaca,2,4,Ferreteria La Economica,PUNO,-14.91407,-69.8608,569.15,8.44
Juliaca,2,5,Ferreteria Vidreria San Antonio,PUNO,-14.91652,-69.86764,2708.95,8.44
Juliaca,3,1,K & R AGROVETERINARIA Y DISTRIBUCIONES S.A.C.,PUNO,-16.06821,-69.75709,1539.04,8.78
Juliaca,3,2,COMERCIAL DISTRIBUIDORA AGROPEZ SOCIEDAD COMERCIAL DE RESPON,PUNO,-16.11892,-69.61076,7097.79,8.78
Juliaca,3,3,AGROCOMERCIALIZADORA FENIX DEL SUR U & M SOCIEDAD ANONIMA CE,PUNO,-16.27985,-69.0862,4462.46,8.78
Juliaca,4,1,SEMILLERA DE AGRICULTOR S.A.C.,AREQUIPA,-16.13866,-71.61949,500.26,8.08
Sicuani,1,1,Totty's,CUSCO,-14.18656,-71.34306,4269.91,5.06
Sicuani,1,2,"Agroveterinaria ""Sur Andino""",CUSCO,-14.21808,-71.43108,4551.2,5.06
Sicuani,1,3,SEMILLEROS EN JESUS,CUSCO,-14.24923,-71.17178,302.2,5.06
Sicuani,2,1,A construir,CUSCO,-13.59135,-71.78757,3868.02,8.51
Sicuani,2,2,AGROVETERINARIA TECNO CAMPO SOCIEDAD COMERCIAL DE RESPONSABI,CUSCO,-13.54002,-71.92415,321.42,8.51
Sicuani,2,3,Ferretería Don Bosco,CUSCO,-13.52772,-71.94642,167.99,8.51
Sicuani,2,4,Sodimac,CUSCO,-13.54268,-71.8994,574.26,8.51
Sicuani,2,5,JBH,CUSCO,-13.54144,-71.8843,108.28,8.51
Sicuani,2,6,John Deere,CUSCO,-13.58225,-71.81047,134.99,8.51
Sicuani,3,1,Tornillo,CUSCO,-13.42219,-71.85028,834.8,8.54
Sicuani,3,2,Agrovet Sura Andina,CUSCO,-13.42221,-71.84896,858.5,8.54
Sicuani,3,3,El Punto,CUSCO,-13.42279,-71.85213,70.8,8.54
Sicuani,3,4,Ausangate,CUSCO,-13.36441,-71.92085,554.71,8.54
Sicuani,3,5,FerreCusco,CUSCO,-13.32288,-71.9589,190.48,8.54
Sicuani,4,1,Comercial Punto Azul,CUSCO,-13.52429,-71.97088,260.36,8.77
Sicuani,4,2,Acuarios,CUSCO,-13.52245,-71.97716,118.46,8.77
Sicuani,4,3,Pernería - Ferretería Pekasur,CUSCO,-13.45985,-72.14848,1623.73,8.77
Sicuani,4,4,Chacón,CUSCO,-13.47807,-72.0679,633.78,8.77
Sicuani,4,5,Ferresur,CUSCO,-13.50759,-71.99615,236.32,8.77
Sicuani,5,1,AGROVETERINARIA BELEN S.R.L.,CUSCO,-13.48817,-71.97455,501.32,8.91
Sicuani,5,2,Verito,CUSCO,-13.38265,-72.11743,1722.66,8.91
Sicuani,5,3,Agroveterinaria Andino,CUSCO,-13.42985,-72.12986,280.97,8.91
