nombre,dep,clase,hub,horas_reparto,reparto_en_promesa,clientes_exclusivos,sam_exclusivo,margen_base,lat,lon
Ferretería Paramonga,LIMA,comercio,Pisco,5.6916977603058125,False,141.89431369719964,692973.4942988942,2182.8665070415163,-10.6747,-77.820035
AGROVETERINARIA RUBIO S.A.C.,SAN MARTIN,canal,Bellavista,4.209830409302858,True,150.78974092215216,692366.1697885992,2180.953434834087,-5.903089736999945,-77.35914823124997
Ferreteria Rosales,JUNIN,comercio,Tarma,0.0670175773165809,True,232.73560080115163,680478.764479443,2143.508108110245,-11.417741,-75.68826
My Dog Beautiful,LIMA,comercio,Pisco,4.57272988343412,False,138.92071381977863,678451.2358375683,2137.12139288834,-11.491694,-77.209188
Agrovetarina Altiplano,CUSCO,comercio,Sicuani,4.462880391245783,True,320.5208722482931,678386.3180122527,2136.9169017385952,-13.317197,-71.596548
AGROSERVICIOS M & R E.I.R.L.,ICA,canal,Pisco,0.965020306000256,True,91.95994264245763,676489.2931038057,2130.9412732769874,-14.011633399999935,-75.69780896066662
Corporation Pachas s.r.l.,PIURA,comercio,Chiclayo,5.7736052007152106,False,171.18221419457416,669270.0413132836,2108.200630136843,-4.931807,-79.946576
Ferretería Pelaez,LA LIBERTAD,comercio,Huamachuco,2.795084166722603,True,174.14034249444012,667888.8174129073,2103.849774850657,-8.087975,-78.998935
H&C Ferromateriales,LAMBAYEQUE,comercio,Chiclayo,0.2764130371427082,True,149.73846808726486,666654.9824518111,2099.963194723204,-6.771655,-79.795114
Ferretería y Materiales de Construcción Rocky,LA LIBERTAD,comercio,Huamachuco,2.795084166722603,True,173.108827102654,663932.5968996438,2091.3876802338773,-8.174263,-78.997495
POSTA VETERINARIA,TACNA,comercio,Juliaca,8.01038561375126,False,197.6340724792213,650889.7460147054,2050.3026999463214,-17.795701,-70.495339
Ferretería Loechle,PASCO,comercio,Tarma,3.1900796766524,True,244.42766924596347,630925.3309895233,1987.4147926169985,-10.574262,-75.403681
AGROSERVICIOS Y NEGOCIOS R & A EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,ICA,canal,Pisco,0.3324523879337658,True,85.58246097697977,629574.3218707799,1983.159113892956,-13.532068524066627,-76.09022220366663
Agro. El olivar,LIMA,comercio,Pisco,5.312492602796364,False,128.86565970634362,629345.0679947829,1982.436964183566,-11.015051,-77.602896
Romero,JUNIN,comercio,Tarma,1.9855974247691868,True,214.88709408164505,628292.8085771916,1979.122347018153,-12.087474,-75.198666
Ferretería San Martín,PIURA,comercio,Chiclayo,4.421005113636523,False,160.49985556714944,627505.2900303407,1976.6416635955727,-4.657113,-80.238431
AGRO COMERCIALIZADORA E INVERSIONES NUCAR S.A.C.,SAN MARTIN,canal,Bellavista,3.774667494082822,True,138.65004604771607,613698.7889593218,1933.1511852218632,-6.0211265073332925,-77.28343985833328
AGROVETERINARIA CASA GRANDE E.I.R.L.,LA LIBERTAD,canal,Chiclayo,2.7749423314959256,True,159.6909373232151,612470.3199304094,1929.2815077807893,-7.630586066999939,-79.19929836349996
AGRO COMERCIAL PORVENIR S.A.C.,LIMA,canal,Pisco,5.79940530506873,False,143.681266464414,604310.1510423787,1903.5769757834928,-10.644236568499949,-77.70549392674995
Conselva de la villa,SAN MARTIN,comercio,Bellavista,1.643692585136887,True,128.54630672696146,590233.2180208806,1859.2346367657733,-6.507594,-76.347321
Agrotecnología Integral,LA LIBERTAD,comercio,Huamachuco,3.645772398887248,True,151.14354761859116,579688.105769031,1826.0175331724477,-8.426488,-78.780181
AGRO SERVICIOS PEGASSO S.A.C.,AREQUIPA,canal,Juliaca,6.005942203296156,False,110.77162222940908,574240.8365134476,1808.85863501736,-16.53202525249995,-72.12599590999997
Ferretería Villalta,PIURA,comercio,Chiclayo,6.111034562104583,False,143.86635768842785,562473.4065203932,1771.7912305392383,-4.641542,-79.715543
AGRO SERVICIOS TORRES SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA AGRO SERVICIOS TORRES S.R.L.,JUNIN,canal,Satipo,1.7446566623015412,True,189.85661789375297,555108.0123877096,1748.5902390212848,-11.34937627812495,-74.38681988274996
Los Leones,LAMBAYEQUE,comercio,Chiclayo,0.2255086737093366,True,124.2833592921406,553325.5533218642,1742.975492963872,-6.777845,-79.844065
AGROSERVICIOS SANTA ISABEL S.A.C.,CAJAMARCA,canal,Chiclayo,4.987670123479137,True,299.8366376315593,549327.0826355908,1730.3803103021107,-5.560942802749956,-78.77268994724996
Maestro,CAJAMARCA,comercio,Huamachuco,2.974150965951349,True,299.1290840445121,548030.7822539859,1726.2969641000554,-7.161401,-78.50319
Verito,CUSCO,comercio,Sicuani,2.739454037330924,True,258.3854074527202,546875.8522975723,1722.6589347373524,-13.382651,-72.11743
Vivero OL & AS,PIURA,comercio,Chiclayo,3.361069548171282,True,139.6517516493998,545995.5874249272,1719.8861003885202,-5.119584,-80.919398
AGROSERVICIOS EL SEMBRADOR E.I.R.L.,AREQUIPA,canal,Juliaca,7.209991944605171,False,104.89156620024876,543758.5864120808,1712.839547198054,-16.629631488999962,-72.70989803949996
Y&L,LAMBAYEQUE,comercio,Chiclayo,0.3393847730159745,True,120.1132818262974,534759.8303294649,1684.493465537814,-6.779954,-79.834772
Ferreteria Maranatha,JUNIN,comercio,Tarma,0.0670175773165809,True,182.4435680027786,533433.532791678,1680.3156282937853,-11.418857,-75.692109
AGROCOMERCIALIZADORA Y DE SERVICIOS EMA S.A.C.,PIURA,canal,Chiclayo,3.675244993160447,True,134.6721243578773,526526.7694825801,1658.5593238701272,-4.8364109005555065,-80.57625466399996
