cod_se,dep,prov,dist,sector,region_nat,lat,lon,ha_agricola,s_ha_cosechada,s_clientes_sam,s_sam_usd,km_capital,km_via_capital,horas_capital,accesible,km_puerto_maritimo,puerto_maritimo,horas_puerto,costo_viaje_usd,costo_pct_venta
14010206,LAMBAYEQUE,CHICLAYO,CHONGOYAPE,TINAJONES,COSTA,-6.646230626999966,-79.44350354899996,952.4728232555568,375.090941929389,21.45247377625193,95509.18151854322,26.11422407256484,32.642780090706054,0.5935050925582919,<1 h,56.1075008331362,Eten,1.2751704734803682,21.366183332098508,0.4799093451988631
14010207,LAMBAYEQUE,CHICLAYO,CHONGOYAPE,CHONGOYAPE,COSTA,-6.647953686999927,-79.39829165099997,670.975576457013,264.2352147378263,15.112332454012217,67282.05420843554,29.11219689115544,36.3902461139443,0.6616408384353509,<1 h,60.23241907593821,Eten,1.368918615362232,23.819070183672633,0.5350040387381338
14010208,LAMBAYEQUE,CHICLAYO,CHONGOYAPE,HUACA BLANCA,COSTA,-6.663626797999939,-79.35028396799999,1221.2216568872143,480.9262483949007,27.505483547360683,122457.9621110324,31.87344423278397,39.84180529097996,0.7243964598359993,<1 h,64.03497811206068,Eten,1.4553404116377429,26.078272554095975,0.585748353406293
14010209,LAMBAYEQUE,CHICLAYO,CHONGOYAPE,TABLAZOS,COSTA,-6.6912376229999495,-79.39048637399998,227.84515219233924,89.7271299119672,5.131739229835051,22847.165260293717,26.491539506063862,33.11442438257983,0.6020804433196332,<1 h,58.690394293253966,Eten,1.3338725975739536,21.674895959506795,0.48684339011326566
14010210,LAMBAYEQUE,CHICLAYO,CHONGOYAPE,LA MONTERIA,COSTA,-6.732761213999936,-79.37340238199994,197.9389748651325,77.9498529658096,4.458164646712582,19848.3242969295,25.56067663422033,31.95084579277541,0.580924468959553,<1 h,58.54442649578373,Eten,1.3305551476314483,20.91328088254391,0.4697366290601702
14010211,LAMBAYEQUE,CHICLAYO,CHONGOYAPE,PAMPAGRANDE,COSTA,-6.746521616999928,-79.44240712899995,1470.7691480139424,579.1999221601058,33.126022925090766,147481.32870542482,18.233753492051083,22.792191865063852,0.4144034884557064,<1 h,50.910529089280566,Eten,1.1570574793018311,14.91852558440543,0.33508744792003586
14010212,LAMBAYEQUE,CHICLAYO,CHONGOYAPE,CUCULI,COSTA,-6.673778252999966,-79.49325743399999,1105.765620541971,435.4587952909379,24.905075922563004,110880.6118040508,20.66518437740166,25.831480471752073,0.4696632813045831,<1 h,49.842867944944814,Eten,1.1327924532942004,16.90787812696499,0.3797706213829907
14010301,LAMBAYEQUE,CHICLAYO,ETEN,CANAL PRINCIPAL,COSTA,-6.904412308999952,-79.85671118499994,638.783985041177,251.55792458155676,14.387283661225036,64054.04342131735,31.60182452935941,39.50228066169926,0.7182232847581683,<1 h,2.750893569755063,Eten,0.06252030840352417,25.85603825129406,0.5807567123124824
14010302,LAMBAYEQUE,CHICLAYO,ETEN,LAS GRANJAS,COSTA,-6.934464666999929,-79.80953650799995,203.4018211884457,80.101162822634,4.581203923669597,20396.11103515671,27.619825182708407,34.524781478385506,0.6277232996070092,<1 h,6.275841444336149,Eten,0.14263276009854883,22.59803878585233,0.5075782524155542
14010400,LAMBAYEQUE,CHICLAYO,ETEN PUERTO,,COSTA,-6.950421322999944,-79.84695955099994,5.778924684865074,2.275783886385434,0.1301582861264904,579.4814856997531,32.11559486740276,40.14449358425345,0.7298998833500628,<1 h,3.2847946196205045,Eten,0.07465442317319328,26.276395800602263,0.5901984321134555
14010501,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,SAMILLAN,COSTA,-6.730250625999929,-79.86616902099996,636.799222638868,250.7763102605901,14.34258100688358,63855.021435676455,34.093337156914984,42.61667144614373,0.7748485717480678,<1 h,21.817141712015715,Eten,0.495844129818539,27.89454858293044,0.626544026931609
14010502,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,SAN NICOLAS,COSTA,-6.728957886999979,-79.84501808199997,309.5135041122424,121.88873946083952,6.97114937901194,31036.45660529776,31.974978327552183,39.96872290944023,0.7267040528989133,<1 h,22.081056165439527,Eten,0.5018421855781711,26.16134590436088,0.5876142775402122
14010503,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,CHILAPE,COSTA,-6.737587993999966,-79.81861233699993,516.2258577146769,203.2936147791293,11.626916175303752,51764.53117109879,28.914346024002832,36.14293253000354,0.6571442278182462,<1 h,21.646230269573902,Eten,0.4919597788539523,23.657192201456866,0.5313680708518816
14010504,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,CULPON,COSTA,-6.749640558999943,-79.83918007999995,158.91292375499123,62.581101319275966,3.579183832153064,15934.988285209663,30.554815697445605,38.193519621807006,0.6944276294874001,<1 h,19.893256773250492,Eten,0.4521194721193294,24.999394661546404,0.5615155002609605
14010601,LAMBAYEQUE,CHICLAYO,LA VICTORIA,YORTUQUE,COSTA,-6.80349059699995,-79.85487073799999,387.8370393107442,152.73313509664362,8.735224472688795,38890.34656184154,30.865506609703978,38.58188326212997,0.7014887865841812,<1 h,13.771594128510452,Eten,0.3129907756479648,25.253596317030524,0.567225165302006
14010602,LAMBAYEQUE,CHICLAYO,LA VICTORIA,TOCNOPE,COSTA,-6.826324006999926,-79.88223340899998,682.1949229100868,268.6534775230381,15.365024950527337,68407.07381082534,33.6552001907284,42.0690002384105,0.7648909134256455,<1 h,11.337039855268399,Eten,0.25765999671064543,27.53607288332324,0.6184922454976387
14010603,LAMBAYEQUE,CHICLAYO,LA VICTORIA,CHACUPE,COSTA,-6.8269976359999305,-79.85541492299996,1283.8072841802157,505.57293785354045,28.91509492470615,128733.733861819,30.690593188359074,38.36324148544884,0.6975134815536153,<1 h,11.178126150090781,Eten,0.2540483215929723,25.11048533593015,0.5640107261032433
