ubigeo,fob,kg,ops,empresas,familia_lider,pct_lider,mes_pico,dep,prov,dist,lat,lon,ha_agricola,h3,h3_ter,hub,horas_al_hub,cubierto_2h,km_al_nodo,promesa_h,cubierto_promesa,fob_mm,cluster
040501,84324.0,28332.0,5,2,"Arándano, fresa y otras bayas",53.4,Feb,AREQUIPA,CAYLLOMA,CHIVAY,-15.618324776499975,-71.54061406949995,1098.5716095193684,85b334a3fffffff,86b334a07ffffff,Juliaca,4.84492339131708,False,5.990596610193461,6.0,True,0.1,
021304,72576.0,21248.0,1,1,"Palta, mango, dátil y piña",100.0,Feb,ANCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,-8.79091705899996,-77.26579375866663,3753.035203889499,858f5893fffffff,868f5892fffffff,Huamachuco,13.408233650821336,False,1.932547886503724,6.0,False,0.1,
020105,72510.76,76792.68,26,3,Cerveza,69.4,Mar,ANCASH,HUARAZ,INDEPENDENCIA,-9.482101135999955,-77.50995309299995,10363.337008171658,858f580ffffffff,868f58057ffffff,Huamachuco,8.645446455297705,False,0.2866611219831982,6.0,False,0.1,
030213,70600.0,22000.0,3,2,Quinua y cereales andinos,90.1,Oct,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,-13.684047204199953,-73.28654466309995,10548.441560386173,858e6d53fffffff,868e6d537ffffff,Sicuani,9.352027029971314,False,0.5864780629914673,6.0,False,0.1,
120206,65980.8,44080.0,2,1,"Palta, mango, dátil y piña",62.4,Jun,JUNIN,CONCEPCION,COMAS,-11.672242425599938,-75.03504355959996,2518.086590538632,858e657bfffffff,868e657b7ffffff,Tarma,3.752253394066057,False,0.3136825801182277,6.0,True,0.1,
150610,65140.0,30000.0,2,2,Plantas para perfumería,100.0,Nov,LIMA,HUARAL,SANTA CRUZ DE ANDAMARCA,-11.174147656999954,-76.59058829366664,999.3411604924985,858e6617fffffff,868e66157ffffff,Tarma,4.425265389288074,False,4.341336236439101,6.0,True,0.1,
150138,64925.05,35470.5,6,3,Frutas congeladas,89.8,Oct,LIMA,LIMA,SANTA MARIA DEL MAR,-12.40857667199998,-76.76739979599995,0.0,858e6203fffffff,868e6202fffffff,Pisco,2.3344083731568577,False,0.8161912019624059,4.0,True,0.1,
060807,62330.03,18975.0,1,1,Café,100.0,Ene,CAJAMARCA,JAEN,POMAHUACA,-5.86863603216663,-79.18121657349997,11677.961028663993,858f540ffffffff,868f543b7ffffff,Chiclayo,4.934569471261123,False,0.1291622903954265,6.0,True,0.1,
120419,58020.6,17920.0,1,1,"Palta, mango, dátil y piña",100.0,Dic,JUNIN,JAUJA,MONOBAMBA,-11.386179935999962,-75.30246153233328,4550.474307976551,858e655bfffffff,868e65597ffffff,Tarma,2.4266119195687472,False,2.973586403028897,6.0,True,0.1,
030104,57725.0,10160.0,2,2,Semillas oleaginosas,82.7,Jun,APURIMAC,ABANCAY,CURAHUASI,-13.60229907779995,-72.65547453379995,14006.481387661872,858e6d8ffffffff,868e6d8e7ffffff,Sicuani,5.849169448727784,False,0.2776154074860117,6.0,True,0.1,
080902,56042.2,3725.72,9,1,Pasta de cacao,98.4,Nov,CUSCO,LA CONVENCION,ECHARATE,-12.49056179124996,-72.87788611312496,7271.529175754096,858b6c3bfffffff,868b6c3a7ffffff,Sicuani,10.209283898704149,False,5.162139130983028,6.0,False,0.1,
050608,51910.02,21120.0,1,1,"Palta, mango, dátil y piña",100.0,Mar,AYACUCHO,LUCANAS,LARAMATE,-14.296436865333286,-74.84164854266663,2049.8433166859368,858e6a93fffffff,868e6a917ffffff,Pisco,5.198298443846182,False,0.5340803189921083,6.0,True,0.1,
