ruc,razon_social,clase,estado,condicion,ubigeo,direccion,exporta,importa,comex,activo,habido,distrito,provincia,dep
20616376358,GM AGROCOMERCIAL Y SERVICIOS GENERALES COMPANY S.A.C.,canal,ACTIVO,HABIDO,220101,JR. EL DORADO BAR. BELEN 310,False,False,False,True,True,MOYOBAMBA,MOYOBAMBA,SAN MARTIN
20616376111,AGRONEGOCIOS MIRCO S.A.C.,productor,ACTIVO,HABIDO,150203,JR. INDEPENDENCIA 226,False,False,False,True,True,PATIVILCA,BARRANCA,LIMA
20616376170,AGRONEGOCIOS KEVIN S.A.C.,productor,ACTIVO,HABIDO,150203,CAL. FRANCISCO VIDAL 575,False,False,False,True,True,PATIVILCA,BARRANCA,LIMA
20616372662,AGROINDUSTRIAS ECOSOIL S.A.C.,agroindustria,ACTIVO,HABIDO,150119,ASC. ASOCIACION AGROPECUARIA S 3 B,False,False,False,True,True,LURIN,LIMA,LIMA
20616375025,AGROPECUARIA PAMPAS DEL LOBO S.A.C.,productor,ACTIVO,HABIDO,150135,APV. SAN JUAN DE DIOS 13 L,False,False,False,True,True,SAN MARTIN DE PORRES,LIMA,LIMA
20616379659,"ASOCIACION DE PEQUEÑOS PRODUCTORES AGROPECUARIOS, FORESTALES Y SERVICIOS GENERALES NUEVO AMANECER DE",productor,ACTIVO,HABIDO,131001,CAR. PUNCHAYPAMPA CAS. PUNCHAYPAMPA SN,False,False,False,True,True,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,LA LIBERTAD
20616382137,CONSORCIO EL MILAGRO,agro_otro,ACTIVO,HABIDO,130101,AV. LOS COLIBRIES URB. SAN JUDAS TADEO 13 G3,False,False,False,True,True,TRUJILLO,TRUJILLO,LA LIBERTAD
20616380720,ASOCIACION DE PRODUCTORES AGROPECUARIOS LA ESPERANZA  AGROPECUARIA DEL SECTOR III ALTO NEGRO-DISTRIT,productor,ACTIVO,HABIDO,140101,CAL. JOSE DE LA T.UGARTE URB. CHICLAYO 433,False,False,False,True,True,CHICLAYO,CHICLAYO,LAMBAYEQUE
20616381777,AGRO SMART LUBERP E.I.R.L.,agro_otro,ACTIVO,HABIDO,140107,JR. EL PORVENIR ---- CENTRO MOCUPE 548,False,False,False,True,True,LAGUNAS,CHICLAYO,LAMBAYEQUE
20616383010,ASOCIACION AGROPECUARIA SUMAQ KAUSAY SEMBRANDO UN FUTURO PAMPAHUASI VRAEM,productor,ACTIVO,HABIDO,050515,ANX. PAMPAHUASI SN,False,False,False,True,True,,,
