ubigeo,dep,prov,dist,cod_se,sector,ha_se,ha_agricola,intensidad,lat,lon
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,1031203,LA ESPERANZA,20093.491566204128,2845.6530655182773,0.1416206365201591,-5.62165028499993,-77.86384730699996
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,1031204,BUENOS AIRES,12284.062414438988,2367.7929977234444,0.19275325359306889,-5.657878441999969,-77.81499386099995
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,1031205,VILCANIZA,15755.743811073029,3765.4113700965368,0.23898658262329903,-5.741981360999944,-77.83651312699999
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,1031206,YAMBRASBAMBA,26736.022395056178,5088.487586192908,0.19032328410728114,-5.718945175999977,-78.00485021299994
010401,AMAZONAS,CONDORCANQUI,NIEVA,1040101,YUMINGKUS,83084.05252959912,7006.122810432496,0.08432572313364865,-4.520456189999948,-77.92769153399996
010401,AMAZONAS,CONDORCANQUI,NIEVA,1040102,NUEVO SEASME,65784.20027755153,10273.302229100675,0.15616671154709436,-4.6162658089999695,-77.76583097499997
010401,AMAZONAS,CONDORCANQUI,NIEVA,1040103,JOSE OLAYA,145429.34993184946,8184.2595908481035,0.056276532864125296,-5.108674577999977,-77.90281811099999
010401,AMAZONAS,CONDORCANQUI,NIEVA,1040104,PUTUYACAT,65066.22963398156,13035.047920364095,0.2003350738730433,-4.997367719999943,-78.05929892899997
010401,AMAZONAS,CONDORCANQUI,NIEVA,1040105,URAKUSA,59644.937898494354,10949.752792083595,0.1835822649479195,-4.742912774999979,-78.00871995299997
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,1040201,ANEXO PAGATA,291625.3230315763,3914.4442874008773,0.013422854526858196,-3.948066436999966,-78.29681721299994
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,1040202,HUAMPAMI,65422.298918496046,6671.071526165829,0.10196938408533666,-4.483687325999938,-78.14961229199997
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,1040203,KUSU KUBAIN,204614.35961707935,7494.867824093737,0.03662923676578627,-4.384980494999979,-78.46725595899994
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,1040301,SOLEDAD,343150.76497568685,10130.371585140087,0.029521634858829037,-3.497307624999962,-77.90364466699998
