dep,prov,dist,sector,ha_agricola,ha_territorial,intensidad_agricola
ANCASH,CASMA,YAUTAN,YAUTAN 2,410.185512,10643.632301,0.038538113719078955
ANCASH,CORONGO,ACO,ACO,1170.585133,5756.524727,0.2033492755637042
ANCASH,CORONGO,BAMBAS,BAMBAS,321.454916,3418.24624,0.09404088922511329
ANCASH,CORONGO,BAMBAS,PILLIPAMPA,423.577753,11990.412918,0.035326369149816794
ANCASH,CORONGO,CORONGO,CORONGO,3223.090348,15192.979394,0.21214340284518918
ANCASH,CORONGO,CUSCA,CUSCA,2253.21134,21778.965093,0.10345814552612544
ANCASH,CORONGO,CUSCA,URCON,2971.853127,20878.986722,0.1423370380263035
ANCASH,CORONGO,LA PAMPA,LA PAMPA,1151.197034,9471.229757,0.1215467329518823
ANCASH,CORONGO,YANAC,YANAC,886.536129,4687.767288,0.18911692380067652
ANCASH,CORONGO,YUPAN,YUPAN,468.776473,8506.227668,0.0551097961748089
