h3,sectores,ha_agricola,ha_cosechada,clientes,sam_usd,horas_capital,horas_puerto,costo_viaje,region_nat,dep,prov,prospectos,empresas,exportadores,fob_export,centro_lat,centro_lon,km2,sam_por_km2,res
858e605bfffffff,2,1464.4131797503444,738.0251921178798,30.343651652954613,148190.19711112895,1.802201594251771,2.1243258273297894,77.32118607033871,SIERRA,LIMA,HUAROCHIRI,4,1,0,0.0,-11.844573515119473,-76.31781719360717,297.07387270883544,498.83281811312764,5
858e612ffffffff,10,4393.21017943148,1337.0902098780814,38.065737295031425,148004.50162928354,1.1110900709372271,7.506226550887187,40.761820526009714,SIERRA,HUANCAVELICA,ANGARAES,0,1,0,0.0,-13.081079083262546,-74.52012279800289,292.2979299981221,506.34810048170516,5
858e4c97fffffff,1,832.5172780554162,664.9716841962597,28.508169058658805,147786.54061603828,1.2979176256713572,5.2364747293324925,45.33061270807789,COSTA,AREQUIPA,CARAVELI,0,0,0,0.0,-15.560182412158467,-74.74181687882364,289.98328000956957,509.6381440032035,5
858b6c03fffffff,1,1963.000478927924,1352.2137218993178,69.77783202871106,147685.62876044284,4.838559763621466,14.161282619375845,169.79818554868984,SELVA ALTA,CUSCO,LA CONVENCION,0,0,0,0.0,-12.71522417979551,-72.7414827439687,287.89363538099497,512.9867791797393,5
858b66bbfffffff,2,5606.775385841782,1872.6266375374835,87.8409846071919,147476.92850294895,0.46793200970355525,7.838659586362352,17.297292450364814,SIERRA,PUNO,AZANGARO,2,2,0,0.0,-14.773970276817428,-70.17120525037551,277.95125582818906,530.5855807829462,5
858f735bfffffff,2,7573.5527082217095,2327.7399822712346,80.18646255434652,146908.64962264668,1.5272161503566068,6.566764114235232,57.37217418675566,SELVA ALTA,CAJAMARCA,SAN IGNACIO,0,0,0,0.0,-5.127031809312147,-78.74629459040774,298.46235969973344,492.21834797005357,5
858e6233fffffff,2,1451.5315531292467,731.5331958061236,30.076735459957327,146886.6505339137,1.543487873403697,1.651070579665135,50.47759923535442,COSTA,LIMA,CAÑETE,0,0,0,0.0,-12.581289269962578,-76.53507279134291,297.0510757926934,494.4828095368463,5
858e6eb3fffffff,7,6047.124971597384,1949.74920146781,47.28245501194222,146867.53981011902,1.2538473755617439,7.031516359785345,42.16516299423152,SIERRA,AYACUCHO,CANGALLO,0,4,0,0.0,-13.506203315974533,-74.4111486310347,291.66294585080107,503.5522746356971,5
858f09b7fffffff,2,3406.6557990764522,1079.5822024525307,37.47322406030888,146508.8317322384,2.5900074297637357,5.699189598021807,91.31784220756924,SIERRA,PIURA,AYABACA,2,0,0,0.0,-4.8673422827457165,-79.59647358984925,299.1837318622918,489.6951810189782,5
858b690bfffffff,1,10135.196156392858,2479.170164352676,29.77752595118886,146324.73109372583,10.025806765077723,17.035756251404976,352.24692757647404,SELVA BAJA,UCAYALI,ATALAYA,0,0,0,0.0,-10.830737892553294,-73.45273005606128,290.7147704791445,503.32747404804803,5
