h3,dep,prov,centro_lat,centro_lon,sam_usd,clientes,cluster,horas_al_territorio
86b32264fffffff,TACNA,TARATA,-17.431268504534923,-70.04191119541834,12575.54781632595,3.818398958986711,-1,
868b65b0fffffff,CUSCO,CHUMBIVILCAS,-14.679712594089558,-72.36429557089619,12539.55119533174,5.9246299343219695,-1,
868e68897ffffff,AYACUCHO,VICTOR FAJARDO,-14.052427146914305,-73.93580522899525,12515.651775223128,4.0292820508344205,-1,
868f55a87ffffff,AMAZONAS,LUYA,-6.382225943758612,-77.99482295180925,12476.968667521542,3.56683235925911,-1,
868f6550fffffff,LORETO,MAYNAS,-3.2298856100561366,-74.34374203072926,12441.261473432103,3.571319850147318,-1,
868e6602fffffff,LIMA,HUARAL,-11.216012336002343,-76.63737763502454,12409.43681511123,2.5409752822226817,-1,
868b64257ffffff,CUSCO,ESPINAR,-14.701015229000982,-71.25092935651003,12396.894494732902,5.857228147325468,-1,
868f5b8d7ffffff,ANCASH,BOLOGNESI,-10.31259344661756,-77.56146892867412,12392.48609269936,7.891333439967755,-1,
868b65717ffffff,CUSCO,CHUMBIVILCAS,-14.265496717341474,-71.64896619613202,12368.195705931646,5.843668674537159,-1,
868f464f7ffffff,AMAZONAS,CHACHAPOYAS,-6.027864732246663,-77.70992102117948,12358.168269246124,3.5328704959128747,-1,
868e6d71fffffff,APURIMAC,ANTABAMBA,-14.163609220676992,-73.02761059514343,12346.372574299636,2.211589654341613,-1,
868e6d087ffffff,APURIMAC,ABANCAY,-13.941498139862972,-72.9882296477327,12339.714886607504,2.210397071408193,-1,
868e6e8c7ffffff,AYACUCHO,CANGALLO,-13.483939500747004,-74.70258539778786,12335.606567969267,3.971318395808247,-1,
868e69da7ffffff,APURIMAC,AYMARAES,-14.52305914999728,-73.30788322127005,12333.42433120667,2.2092702524044068,-1,
868e6d44fffffff,APURIMAC,AYMARAES,-14.06381587503687,-73.10243508762315,12296.585181649778,2.2026713034787635,-1,
868e6ed97ffffff,HUANCAVELICA,CASTROVIRREYNA,-13.27926471058102,-75.33529911933351,12292.491420552704,3.1615440338985312,-1,
868b71247ffffff,MADRE DE DIOS,TAMBOPATA,-12.541246306344304,-69.16080006241056,12281.056963350036,6.91557227973331,-1,
868e66aa7ffffff,JUNIN,YAULI,-11.190819578174438,-76.38258366243618,12265.09503779175,4.19487633047206,-1,
868f5099fffffff,CAJAMARCA,CHOTA,-6.385773549226551,-79.33425500107789,12264.351347687569,6.694193654497367,-1,
868e60117ffffff,JUNIN,YAULI,-11.735146300611676,-75.78203988409224,12245.400158533505,4.188140338408618,-1,
868e69837ffffff,APURIMAC,ANTABAMBA,-14.56948203110588,-72.791190754247,12245.06488200551,2.1934425392408343,-1,
868b6464fffffff,PUNO,MELGAR,-14.603406552648789,-70.91485415759202,12242.518877546416,7.291953549563567,-1,
868b6115fffffff,CUSCO,CALCA,-13.376572988025623,-71.90792736326833,12142.52738575158,5.7370459362796105,-1,
868b640cfffffff,PUNO,MELGAR,-14.930101299416563,-70.93993846992767,12138.4475724106,7.229966050872863,-1,
868f5c16fffffff,LA LIBERTAD,PATAZ,-8.13071706605309,-77.2243329352273,12102.96818855,3.155637541166413,-1,
868b6b297ffffff,UCAYALI,ATALAYA,-9.972934796856949,-72.60011982314452,12094.683030486329,2.4613046278624107,-1,
868b6566fffffff,CUSCO,PARURO,-14.025952046178093,-71.89788941942025,12031.75748840754,5.684709880594413,-1,
