h3,sectores,ha_agricola,ha_cosechada,clientes,sam_usd,horas_capital,horas_puerto,costo_viaje,region_nat,dep,prov,prospectos,empresas,exportadores,fob_export,centro_lat,centro_lon,km2,sam_por_km2,res,hub,horas_al_hub,cubierto_2h
858f5813fffffff,5,5207.787402212628,930.6736601733514,70.61338549501407,110890.68841944113,0.6387019250477823,3.901628677482185,22.99326930172017,SIERRA,ANCASH,CARHUAZ,0,2,0,0.0,-9.206939719180564,-77.53792658625765,299.71510117131925,369.9869909326165,5,Otuzco,6.369500552267709,False
858e6d47fffffff,7,5239.021364011506,1605.442784459925,19.818230317862927,110636.82396382806,1.3889350957163658,9.963838452456471,50.00166344578917,SIERRA,APURIMAC,AYMARAES,1,2,0,0.0,-14.01388362736913,-73.1398429952132,287.87921177404417,384.31682260776336,5,Pisco,9.429640971711706,False
858e64cbfffffff,3,2561.375164274545,1206.652937446705,38.147793373739496,110507.84131549826,2.432207819725655,6.127848905552143,87.55948151012358,SIERRA,PASCO,PASCO,0,0,0,0.0,-10.441406571144723,-76.03989505999505,296.952322839631,372.1400131130746,5,Jauja,5.803068516826897,False
858f4c23fffffff,1,7652.829813079679,1871.9585741306685,22.48425534569188,110486.0968870948,5.904344880498217,15.748649798121772,212.5564156979358,SELVA BAJA,UCAYALI,CORONEL PORTILLO,0,0,0,0.0,-8.271933427244685,-74.10187469693562,292.0835501690501,378.26880980852366,5,Satipo,9.845116633805446,False
858b61c3fffffff,1,1465.531148421201,1009.531760200236,52.09452947419956,110258.7041857497,1.0078066663371814,9.173285809963383,36.28103998813853,SIERRA,CUSCO,QUISPICANCHI,0,1,0,0.0,-13.708371795832411,-71.52279638391583,283.4582298152033,388.9769023733456,5,Pisco,14.749295774201528,False
858f48c7fffffff,1,2696.7968960198664,1253.8001918365069,37.01619549415361,110164.5776772304,0.8698578239971959,14.168971297714206,31.31488166389905,SELVA BAJA,HUANUCO,PUERTO INCA,0,0,0,0.0,-8.812939491456717,-74.58208776435245,293.500339375451,375.3473604550278,5,Satipo,11.666953915177146,False
85b30413fffffff,2,981.9030639901966,588.9969078504996,33.26058053811257,109540.680648727,0.5496305504859419,2.756633580782601,19.786699817493908,COSTA,TACNA,TACNA,2,17,6,5492811.069200001,-17.867294031412253,-70.11579745576587,272.96643243162947,401.2972572228781,5,Pisco,15.727411804686199,False
858f5eb7fffffff,7,5139.230724514119,918.4220282930088,69.68381238906788,109430.89434595277,1.3466484151014737,3.2434340463182174,48.47934294365306,SIERRA,ANCASH,CORONGO,0,1,0,0.0,-8.579452086247436,-77.91766145789892,300.15524591664905,364.58098212396703,5,Otuzco,5.021718459523981,False
858f51cffffffff,4,5595.100020836557,1719.660313338722,59.23920986534978,108531.4409540488,1.275026814536626,3.418772697209016,45.90096532331854,SIERRA,CAJAMARCA,CAJAMARCA,1,2,0,0.0,-7.322061910881938,-78.67426711847065,300.59646900148323,361.0536122216169,5,Chiclayo,inf,False
858e634bfffffff,1,1065.793077152812,537.1312901306366,22.083968045663784,107852.13378773176,1.303243347144475,1.631170949773063,46.9167604972011,COSTA,LIMA,CAÑETE,0,0,0,0.0,-13.176237364176208,-76.4436632794379,296.4063727482093,363.8657724790208,5,Pisco,0.9784181407740107,True
