ruc,razon_social,fob,tn,semanas,lineas,rubro,pct,pct_acum
20440447491,NATURAGRO EMPRESA INDIVIDUAL DE RESPONSA,1552925.734,955.3992049999999,24,64,Fertilizantes,0.028113248503269347,96.44376357064611
20600529481,HFE BERRIES PERU S.A.C.,1531589.571,732.6220989999999,39,92,Fertilizantes,0.027726991234558736,96.47149056188067
20100244471,SOCIEDAD ANONIMA FAUSTO PIAGGIO,1515846.061,371.0866,31,107,Proteccion de cultivos,0.027441980046159106,96.49893254192683
20494039843,PALMAS DEL HUALLAGA S.A.C.,1510743.77,3295.51,23,25,Fertilizantes,0.027349611189311382,96.52628215311614
20548415404,BIOILS PERU S.A.C.,1508158.31,872.8625450000001,15,34,Fertilizantes,0.027302805551486037,96.55358495866763
20604899711,AGRO UNITEK CROPSCIENCE S.A.C.,1467982.438,512.083048,26,129,Proteccion de cultivos,0.026575485339937827,96.58016044400756
20552349815,INVERSIONES AGRICOLAS OLMOS S.A.C.,1451991.621,452.8462,16,42,Proteccion de cultivos,0.026285997051960684,96.60644644105952
20266614803,DIVERSEY PERU S.A.C,1433438.214,712.259133,68,123,Proteccion de cultivos,0.02595011715110427,96.63239655821062
20600672631,CROPS PROTECTION S.A.C.,1425673.541,171.1354,29,68,Proteccion de cultivos,0.025809550106063835,96.65820610831668
20607720992,CLENVI SOCIEDAD ANONIMA CERRADA,1422041.331,268.07572999999996,42,78,Proteccion de cultivos,0.025743794725680617,96.68394990304236
20110651121,REPRESENTACIONES DURAND S.A.C.,1409165.977,11.451272,19,67,Proteccion de cultivos,0.02551070693619746,96.70946060997856
20605935487,ECF TECNOLOGIA VEGETAL S.A.C.,1399403.711,379.72380000000004,18,173,Fertilizantes,0.025333976649613767,96.73479458662818
20272963437,AGROSURPE S.R.LTDA.,1363892.5699999998,954.0,3,3,Fertilizantes,0.024691103967611032,96.7594856905958
20462793791,FRESENIUS MEDICAL CARE DEL PERU S.A.,1352579.717,703.541713,29,88,Proteccion de cultivos,0.024486302771580398,96.78397199336737
20548112509,ZOETIS S.R.L.,1339785.689,272.46515000000005,52,75,Proteccion de cultivos,0.024254687259874428,96.80822668062724
