ruc,razon_social,fob,tn,semanas,destinos,distrito,provincia,dep,fob_anual
20517686639,BROLEM COMPANY S.A.C.,43088.48,24.0,1,1,LA VICTORIA,LIMA,LIMA,224060.096
20601788064,INVERSIONES ORPOL S.A.C.,43056.0,66.24,1,1,SAN ISIDRO,LIMA,LIMA,223891.2
20613018043,,43004.41,21.152,1,1,,,,223622.93200000003
20539086082,CABALLERO CARMELO IMPEXP EIRL,42881.0,13.454747,1,1,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,222981.2
20518807901,ALTPEZ INTERNACIONAL S.A.C.,42580.0,32.0,1,1,SANTIAGO DE SURCO,LIMA,LIMA,221416.0
20606561149,TORINOPRODUCESOCIEDADANONIMACERRADA,42546.0,99.84,3,1,BARRANCO,LIMA,LIMA,221239.2
20613436422,NUGA GLOBAL SERVICES S.A.C.,42080.0,23.11,1,1,YANAHUARA,AREQUIPA,AREQUIPA,218816.0
20612877883,TAO FOODS S.A.C.,42071.86,22.0,1,1,CHORRILLOS,LIMA,LIMA,218773.672
20610107533,,41884.477,61.9283,1,1,SAN MIGUEL,LIMA,LIMA,217799.2804
20614620383,,41680.4,0.2638,1,1,SUBTANJALLA,ICA,ICA,216738.08
20613616439,AGRICOLA DON NICOLAS S.R.L.,41527.05,24.0,1,1,MIRAFLORES,LIMA,LIMA,215940.66
20600262573,AGROCOMERCIALIZADORA SANTA GREGORIA E.I.,41472.0,33.12,2,1,ACARI,CARAVELI,AREQUIPA,215654.4
20616259157,,40584.15,10.575,3,1,SAN JUAN DE LURIGANCHO,LIMA,LIMA,211037.58
20615804356,,40476.52,51.2,2,1,SAN MIGUEL,LIMA,LIMA,210477.90399999998
20518402839,NESTLE MARCAS PERU S.A.C.,40449.992,1.9776,2,2,SAN ISIDRO,LIMA,LIMA,210339.95839999997
20450105113,COOPERATIVA AGROINDUSTRIAL DEL PALMITO A,40142.7,11.60676,1,1,CAYNARACHI,LAMAS,SAN MARTIN,208742.03999999998
20611842318,,40108.89,2.08,2,2,VILLA EL SALVADOR,LIMA,LIMA,208566.228
20603584024,,40013.44,24.0,1,1,PALPA,PALPA,ICA,208069.888
20606408162,,40000.0,400.0,5,1,TACNA,TACNA,TACNA,208000.0
20503801818,GOURMET FARMS PERU S.R.L.,39800.0,16.4432,2,1,MIRAFLORES,LIMA,LIMA,206960.0
20610492267,JUICING EXPERTS S.A.C.,39317.4,17.01,1,1,LURIN,LIMA,LIMA,204450.48
20600070305,VIVEROS ARCOIRIS DEL VALLE GRANDE EMPRES,39144.5,391.445,6,1,TACNA,TACNA,TACNA,203551.4
20612293857,,39000.0,24.0,1,1,CASMA,CASMA,ANCASH,202800.0
20532845158,AGRONEGOCIOS INTERNACIONALES JOSE S.R.L.,38940.91,407.248,7,1,LA VICTORIA,LIMA,LIMA,202492.73200000002
20605853685,TRADITIONAL PERUVIAN FOODS S.A.C.,38900.6,3.8,1,1,SANTIAGO DE SURCO,LIMA,LIMA,202283.12
20614469359,,38488.0,22.0,1,1,CHICLAYO,CHICLAYO,LAMBAYEQUE,200137.6
20603189460,PERUVIAN BIO FOODS SOCIEDAD ANONIMA CERR,38266.55,3.108289,2,1,SANTIAGO DE SURCO,LIMA,LIMA,198986.06
20610314776,,38187.0,48.38,1,1,LOS OLIVOS,LIMA,LIMA,198572.4
20100898242,LABORATORIOS SMA.SAC,37947.0,4.769,1,1,ATE,LIMA,LIMA,197324.4
20609360225,,37324.0,22.96,1,1,SAN LUIS,LIMA,LIMA,194084.80000000002
20610004637,INCA AGRIBUSINESS EXPO & IMPORT S.A.C.,37264.08,22.96,1,1,LA MOLINA,LIMA,LIMA,193773.21600000001
20613178482,,37232.28,9.93196,7,3,LOS OLIVOS,LIMA,LIMA,193607.856
20611355000,,37191.94,1.5,2,1,SANTA ANA,LA CONVENCION,CUSCO,193398.08800000002
20600373839,GERALD & CAMILA EXPORT E.I.R.L.,37100.0,13.931423,2,1,VENTANILLA,CALLAO,CALLAO,192920.0
20504073069,LABORATORIOS DROGAVET S.A.C.,37018.79,3.4494290000000003,4,3,LURIGANCHO,LIMA,LIMA,192497.70799999998
20611529598,,36736.0,22.96,1,1,MIRAFLORES,LIMA,LIMA,191027.19999999998
20433683201,COPESBA SOCIEDAD ANONIMA,36679.1,57.1536,1,1,SANTIAGO DE SURCO,LIMA,LIMA,190731.32
20608354566,HERBS SPICES PERU S.A.C.,36640.79,20.61598,1,1,LURIN,LIMA,LIMA,190532.108
