dep,partida4,producto,fob_usd,kg
Ica,2209,Vinagre,1839.12,1137.6
Lambayeque,2106,Preparaciones alimenticias,1779.0,563.9
Lima,1101,Harina de trigo,1553.66,944.5
Tacna,0403,Yogur y leches ácidas,1548.19,601.7
Lima,2201,Agua,1546.51,3887.8
Tacna,0902,Té,1521.0,558.2
Arequipa,2201,Agua,1367.9,6099.3
Tacna,2009,Jugos de fruta,1360.39,1286.2
Junin,2008,Frutas preparadas,1312.31,140.0
Huanuco,1302,Extractos vegetales (tara y otros),1291.9,100.0
Arequipa,1805,Cacao en polvo,1248.48,74.5
Callao,2203,Cerveza,1248.0,380.6
Tacna,1703,Melaza,1162.63,2832.1
Lima,1004,Avena,1159.06,316.7
Tacna,1515,Otros aceites vegetales,1082.59,790.8
Lambayeque,2204,Vino,1030.0,219.0
Tacna,0903,Mate,1009.34,312.4
Junin,1806,Chocolate,885.0,60.0
Lima,0706,Zanahoria y remolacha,739.2,7392.0
Tacna,0905,Vainilla,738.4,250.6
Ica,1003,Cebada,720.0,600.0
La Libertad,1211,Plantas para perfumería,720.0,360.0
Arequipa,1103,Sémola y pellets de cereal,705.6,42.1
Callao,0906,Canela,705.17,171.6
Arequipa,0813,Frutas secas,672.0,39.3
Lambayeque,2201,Agua,660.0,209.2
Lambayeque,1704,Confitería sin cacao,630.0,199.7
Tacna,0713,Legumbres secas,490.0,3500.0
Ayacucho,0904,Pimienta y ají,478.32,200.0
Callao,1101,Harina de trigo,429.02,104.4
Lambayeque,2101,Extractos de café y té,416.0,54.4
Ica,1904,Cereales inflados y hojuelas,412.8,144.0
Piura,1803,Pasta de cacao,403.02,60.0
Tumbes,0904,Pimienta y ají,400.0,2000.0
Callao,0905,Vainilla,399.28,108.0
Lima,0603,Flores cortadas,379.35,25.0
Tacna,1108,Almidones y féculas,377.62,133.8
Piura,1904,Cereales inflados y hojuelas,364.0,56.0
Tacna,0906,Canela,363.27,2028.1
Ica,1806,Chocolate,355.2,20.6
Ica,2007,Mermeladas y purés,331.2,86.4
Tacna,0710,Hortalizas congeladas,322.28,3115.0
Junin,1702,Otros azúcares,287.5,25.0
